lon,lat,date,analysis_date,n_z_valid_T,dataset
-87.873810,26.736259,2025-04-04,20250405,41,qcobs_profile_orig
-86.978844,27.544451,2025-04-04,20250405,41,qcobs_profile_orig
-94.025650,20.735821,2025-04-04,20250405,41,qcobs_profile_orig
-89.213852,25.086040,2025-04-04,20250405,41,qcobs_profile_orig
-86.978561,27.510679,2025-04-04,20250405,38,qcobs_profile_orig
-86.568001,26.225100,2025-04-04,20250405,40,qcobs_profile_orig
-93.497673,24.238800,2025-04-05,20250405,41,qcobs_profile_orig
-94.821877,19.397261,2025-04-06,20250405,41,qcobs_profile_orig
-89.361603,28.130980,2025-04-06,20250405,32,qcobs_profile_orig
-81.625587,23.391230,2025-04-06,20250405,35,qcobs_profile_orig
-84.283333,24.064920,2025-04-06,20250405,41,qcobs_profile_orig
-91.513680,26.976690,2025-04-06,20250405,39,qcobs_profile_orig
-80.572762,23.765440,2025-04-06,20250405,30,qcobs_profile_orig
-84.028870,24.418760,2025-04-06,20250405,38,qcobs_profile_orig
-89.618492,27.387310,2025-04-07,20250405,40,qcobs_profile_orig
-84.726921,25.207451,2025-04-07,20250405,40,qcobs_profile_orig
-87.238800,26.170860,2025-04-07,20250405,41,qcobs_profile_orig
-88.070709,25.171539,2025-04-07,20250405,41,qcobs_profile_orig
-88.094223,25.666580,2025-04-07,20250405,41,qcobs_profile_orig
-96.173141,24.768280,2025-04-07,20250405,34,qcobs_profile_orig
-79.636742,19.538349,2025-04-07,20250405,41,qcobs_profile_orig
-95.448578,19.592541,2025-04-08,20250405,40,qcobs_profile_orig
-87.543381,27.348021,2025-04-08,20250405,41,qcobs_profile_orig
-90.701210,25.770800,2025-04-08,20250405,41,qcobs_profile_orig
-84.731506,23.631281,2025-04-08,20250405,41,qcobs_profile_orig
-96.249702,23.156670,2025-04-08,20250405,41,qcobs_profile_orig
-87.022789,28.139589,2025-04-08,20250405,41,qcobs_profile_orig
-96.150047,20.304569,2025-04-09,20250405,36,qcobs_profile_orig
-89.434372,27.691879,2025-04-09,20250405,34,qcobs_profile_orig
